,Title,Author,Abstract,Link,Number,Date
BOARD2023-025,Implications of Student Loan COVID-19 Pandemic Relief Measures for Families with Children,"Sarena Goodman, Simona Hannon, Adam Isen, Alvaro Mezza","The initial years of the COVID-19 pandemic and the resulting economic fallout likely posed particular financial strain on U.S. households with children, who faced income disruptions from widespread jobs and hours cuts in addition to new childcare and instruction demands. One common expense for many such households is their student loan payment. The Coronavirus Aid, Relief, and Economic Security (CARES) Act included provisions to curb the impacts of these payments, which have been extended several times. These measures were not targeted and thus applied independent of need. This chapter analyzes two nationally representative datasets and finds: 1) families with children were more likely to benefit from pandemic student loan relief than those without children, but this relief was concentrated among higher-income and White families and 2) there were larger improvements in overall credit health and an increased use of other credit among families with student loan debt that was eligible for relief relative to those with student loan debt that was not.",https://www.federalreserve.gov/econres/feds/implications-of-student-loan-covid-19-pandemic-relief-measures-for-families-with-children.htm,2023-025,May-23
BOARD2023-048,"Your Friends, Your Credit: Social Capital Measures Derived from Social Media and the Credit Market",Jesse Bricker and Geng Li,"Chetty et al. (2022a) introduced an array of social capital measures derived from Facebook friendships and found that one of these indicators, economic connectedness (EC), predicted upward income mobility well. Bricker and Li (2017) proposed the average credit score of a community's residents as an indicator of local social trust. We show in this paper that the average credit scores are robustly correlated with EC, negatively correlated with the friending-bias measure introduced in Chetty et al. (2022b), and predict economic mobility to a comparable extent after controlling for EC. The consistency and complementarity between these two indicators, despite being derived from individuals' activities in distinct contexts, underscore trust as a crucial component of social capital and provide insights that are useful for understanding the formation and accumulation of social capital.",https://www.federalreserve.gov/econres/feds/your-friends-your-credit-social-capital-measures-derived-from-social-media-and-the-credit-market.htm,2023-048,Jul-23
BOARD2023-040,Finite-State Markov-Chain Approximations: A Hidden Markov Approach,Eva F. Janssens and Sean McCrary,"This paper proposes a novel finite-state Markov chain approximation method for Markov processes with continuous support, providing both an optimal grid and transition probability matrix. The method can be used for multivariate processes, as well as non-stationary processes such as those with a life-cycle component. The method is based on minimizing the information loss between a Hidden Markov Model and the true data-generating process. We provide sufficient conditions under which this information loss can be made arbitrarily small if enough grid points are used. We compare our method to existing methods through the lens of an asset-pricing model, and a life-cycle consumption-savings model. We find our method leads to more parsimonious discretizations and more accurate solutions, and the discretization matters for the welfare costs of risk, the marginal propensities to consume, and the amount of wealth inequality a life-cycle model can generate.",https://www.federalreserve.gov/econres/feds/finite-state-markov-chain-approximations-a-hidden-markov-approach.htm,2023-040,Jun-23
BOARD2023-051,Sticky Leverage: Comment,"Andrea Ajello, Ander Perez-Orive, and Bálint Szőke","We revisit the role of long-term nominal corporate debt for the transmission of inflation shocks in the general equilibrium model of Gomes, Jermann, and Schmid (2016, henceforth GJS). We show that inaccuracies in the model solution and calibration strategy lead GJS to a model equilibrium in which nominal long-term debt is systematically mispriced. As a result, the quantitative importance of corporate leverage in the transmission of inflation shocks to real activity in their framework is 6 times larger than what arises under the rational expectations equilibrium.",https://www.federalreserve.gov/econres/feds/sticky-leverage-comment.htm,2023-051,Jul-23
BOARD2023-021,Stressed Banks? Evidence from the Largest-Ever Supervisory Review,"Puriya Abbassi, Rajkamal Iyer, Jose-Luis Peydro, and Paul E. Soto","We study short-term and medium-term changes in bank risk-taking as a result of supervision, and the associated real effects. For identification, we exploit the European Central Bank’s asset-quality-review (AQR) in conjunction with security and credit registers. After the AQR announcement, reviewed banks reduce riskier securities and credit supply, with the greatest effect on riskiest securities. We find negative spillovers on asset prices and firm-level credit availability. Moreover, non-banks with higher exposure to reviewed banks acquire the shed risk. After the AQR compliance, reviewed banks reload riskier securities but not riskier credit, resulting in negative medium-term firm-level real effects. These effects are especially strong for firms with high ex-ante credit risk. Among these non-safe firms, even those with high ex-ante productivity experience negative real effects. Our findings suggest that banks’ liquid assets help them to mask risk from supervisors and risk adjustments banks make in response to supervision have persistent corporate real effects.",https://www.federalreserve.gov/econres/feds/stressed-banks-evidence-from-the-largest-ever-supervisory-review.htm,2023-021,Apr-23
BOARD2023-003,The Information Value of Past Losses in Operational Risk,Filippo Curti and Marco Migueis,"Operational risk is a substantial source of risk for US banks. Improving the performance of operational risk models allows banks’ management to make more informed risk decisions by better matching economic capital and risk appetite, and allows regulators to enhance their understanding of banks’ operational risk. We show that past operational losses are informative of future losses, even after controlling for a wide range of financial characteristics. We propose that the information provided by past losses results from them capturing hard to quantify factors such as the quality of operational risk controls, the risk culture, and the risk appetite of the bank.",https://www.federalreserve.gov/econres/feds/the-information-value-of-past-losses-in-operational-risk.htm,2023-003,Jan-23
BOARD2023-011,Using U.S. Business Registry Data to Corroborate Corporate Identity: Case Study of the Legal Entity Identifier,William Treacy and Scott Okrent,"This paper offers a fresh perspective on fundamental issues in using official incorporation records to corroborate the identity of corporate entities by comparing two publicly-available sets of information, namely, business registry incorporation records and reference data from the Legal Entity Identifier (LEI) system, with some focus on the monitoring function performed by LEI issuers as agents for LEI data users. Three modes of analysis are used to consider these issues, high-level analysis of LEI system data about U.S. entities with LEIs, interviews conducted with U.S. business registries, and entity-level comparisons of business registry and LEI records for entities with LEIs incorporated in the states of Ohio and Massachusetts. The fresh perspective provided here includes attention to key comparison issues such as truncation of Legal Names in official records; significant state-level variation in requirements to provide business address information in incorporation records or periodic reports; recognition that some key business register data may not be readily available or available only at a cost; whether in this context enhancements can be made to the expectations for, and disclosures by, LEI issuers in their monitoring role; and to what extent the high incidence of non-renewal of LEIs might play a role in the quality of LEI reference data. The paper develops measures of scope and degree for many key issues that can arise in using business registry information within an identity-corroboration context. The exceptional transparency of the LEI system allows for detailed comparisons that connect its data quality and value proposition with its sources and methods.",https://www.federalreserve.gov/econres/feds/using-us-business-registry-data-to-corroborate-corporate-identity.htm,2023-011,Feb-23
BOARD2023-036,"Fed Communication, News, Twitter, and Echo Chambers","Bennett Schmanski, Chiara Scotti, Clara Vega and Hedi Benamar","We estimate monetary policy surprises (sentiment) from the perspective of three different textual sources: direct central bank communication (FOMC statements and press conferences), news articles, and Twitter posts during FOMC announcement days. Textual sentiment across sources is highly correlated, but there are times when news and Twitter sentiment substantially disagree with the sentiment conveyed by the central bank. We find that sentiment estimated using news articles correlates better with daily U.S. Treasury yield changes than the sentiment extracted directly from Fed communication, and better predicts revisions in economic forecasts and FOMC decisions. Twitter sentiment is also useful, but slightly less so than news sentiment. These results suggest that news coverage and Tweets are not a simple echo chamber but they provide additional useful information. We use Sastry (2022)’s theoretical model to guide our empirical analysis and test three mechanisms that can explain what drives monetary policy surprises extracted from different sources: asymmetric information (central bank has better information than journalists and Tweeters), journalists (and Tweeters) have erroneous beliefs about the monetary policy rule, and the central bank and journalists (Tweeters) have different confidence in public information. Our empirical results suggest that the latter mechanism is the most likely mechanism.",https://www.federalreserve.gov/econres/feds/fed-communication-news-twitter-and-echo-chambers.htm,2023-036,May-23
BOARD2023-018,Private Equity and Debt Contract Enforcement: Evidence from Covenant Violations,"Sharjil Haque, Anya Kleymenova","We document the importance of a financial sponsor when a borrower violates a covenant, providing creditors the opportunity to enforce debt contracts. We identify PE-sponsored borrowers in the Shared National Credit Program (SNC) data and find that they violate covenants more often than comparable non-PE borrowers. Yet, compared to non-PE, PE-backed borrowers experience smaller reductions in credit commitment upon violation, suggesting lenders are more lenient with PE sponsors. This leniency effect is also stronger among financially healthier lenders. We show that our results are consistent with a repeated-deals mechanism, as lenders frequently interact with financial sponsors and choose to preserve relationship rent. Consistent with this mechanism, we find little evidence that PE-sponsored loans eventually underperform relative to non-PE-sponsored loans following covenant violations. Our findings have important implications for understanding heterogeneity in debt contract enforcement and credit constraints faced by distressed borrowers with financial sponsors.",https://www.federalreserve.gov/econres/feds/private-equity-and-debt-contract-enforcement-evidence-from-covenant-violations.htm,2023-018,Apr-23
BOARD2023-010,IT Shields: Technology Adoption and Economic Resilience during the COVID-19 Pandemic,"Myrto Oikonomou, Nicola Pierri, Yannick Timmer","We study the labor market effects of information technology (IT) during the onset of the COVID-19 pandemic, using data on IT adoption covering almost three million establishments in the US. We find that in areas where firms had adopted more IT before the pandemic, the unemployment rate rose less in response to social distancing. IT shields all individuals, regardless of gender and race, except those with the lowest educational attainment. Instrumental variable estimates–leveraging historical routine employment share as a booster of IT adoption– confirm IT had a causal impact on fostering labor markets’ resilience. Additional evidence suggests this shielding effect is due to the easiness of working-from-home and to stronger creation of digital jobs in high IT areas.",https://www.federalreserve.gov/econres/feds/it-shields-technology-adoption-and-economic-resilience-during-the-covid19-pandemic.htm,2023-010,Feb-23
BOARD2023-019,The Long-Run Real Effects of Banking Crises: Firm-Level Investment Dynamics and the Role of Wage Rigidity,Carlo Wix,"I study the long-run effects of credit market disruptions on real firm outcomes and how these effects depend on nominal wage rigidity at the firm level. Exploiting variation in firms' refinancing needs during the global financial crisis, I trace out firms' investment and growth trajectories in response to a credit supply shock. Financially shocked firms exhibit a temporary investment gap for two years, resulting in a persistent accumulated growth gap six years after the crisis. Shocked firms with rigid wages exhibit a significantly steeper drop in investment and an additional long-run growth gap relative to shocked firms with flexible wages.",https://www.federalreserve.gov/econres/feds/the-long-run-real-effects-of-banking-crises-firm-level-investment-dynamics-and-the-role-of-wage-rigidity.htm,2023-019,Apr-23
BOARD2023-009,Does Private Equity Over-Lever Portfolio Companies?,Sharjil Haque,"Detractors have warned that Private Equity (PE) funds tend to over-lever their portfolio companies because of an option-like payoff, building up default risk and debt overhang. This paper argues PE-ownership leads to substantially higher levels of optimal (value-maximizing) leverage, by reducing the expected cost of financial distress. Using data from a large sample of PE buyouts, I estimate a dynamic trade-off model where leverage is chosen by the PE investor. The model is able to explain both the level and change in leverage documented empirically following buyouts. The increase in optimal leverage is driven primarily by a reduction in the portfolio company’s asset volatility and, to a lesser extent, an increase in asset return. Counterfactual analysis shows significant loss in firm value if PE sub-optimally chose lower leverage. Consistent with lower asset volatility, additional tests show PE-backed firms experience lower volatility of sales and receive greater equity injections for distress resolution, compared to non PE-backed firms. Overall, my findings broaden our understanding of factors that drive buyout leverage.",https://www.federalreserve.gov/econres/feds/does-private-equity-over-lever-portfolio-companies.htm,2023-009,Feb-23
BOARD2023-007,Who Pays For Your Rewards? Redistribution in the Credit Card Market,"Sumit Agarwal, Andrea Presbitero, André F. Silva, Carlo Wix","We study credit card rewards as an ideal laboratory to quantify redistribution between consumers in retail financial markets. Comparing cards with and without rewards, we find that, regardless of income, sophisticated individuals profit from reward credit cards at the expense of naive consumers. To probe the underlying mechanisms, we exploit bank-initiated account limit increases at the card level and show that reward cards induce more spending, leaving naive consumers with higher unpaid balances. Naive consumers also follow a sub-optimal balance-matching heuristic when repaying their credit cards, incurring higher costs. Banks incentivize the use of reward cards by offering lower interest rates than on comparable cards without rewards. We estimate an aggregate annual redistribution of $15 billion from less to more educated, poorer to richer, and high to low minority areas, widening existing disparities.",https://www.federalreserve.gov/econres/feds/who-pays-for-your-rewards-redistribution-in-the-credit-card-market.htm,2023-007,Jan-23
BOARD2023-035,Measuring Job Loss during the Pandemic Recession in Real Time with Twitter Data,"Anbar Aizenman, Connor M. Brennan, Tomaz Cajner, Cynthia Doniger, Jacob Williams","We present an indicator of job loss derived from Twitter data, based on a fine-tuned neural network with transfer learning to classify if a tweet is job-loss related or not. We show that our Twitter-based measure of job loss is well-correlated with and predictive of other measures of unemployment available in the official statistics and with the added benefits of real-time availability and daily frequency. These findings are especially strong for the period of the Pandemic Recession, when our Twitter indicator continues to track job loss well but where other real-time measures like unemployment insurance claims provided an imperfect signal of job loss. Additionally, we find that our Twitter job loss indicator provides incremental information in predicting official unemployment flows in a given month beyond what weekly unemployment insurance claims offer.",https://www.federalreserve.gov/econres/feds/measuring-job-loss-during-the-pandemic-recession-in-real-time-with-twitter-data.htm,2023-035,May-23
BOARD2023-020,It's Not Who You Know—It's Who Knows You: Employee Social Capital and Firm Performance,"DuckKi Cho, Lyungmae Choi, Michael Hertzel, Jessie Jiaxu Wang","We show that the social capital embedded in employees’ networks contributes to firm performance. Using novel, individual-level network data, we measure a firm’s social capital derived from employees’ connections with external stakeholders. Our directed network data allow for differentiating those connections that know the employee and those that the employee knows. Results show that firms with more employee social capital perform better; the positive effect stems primarily from employees being known by others. We provide causal evidence exploiting the enactment of a government regulation that imparted a negative shock to networking with specific sectors and provide evidence on the mechanisms.",https://www.federalreserve.gov/econres/feds/its-not-who-you-know-its-who-knows-you-employee-social-capital-and-firm-performance.htm,2023-020,Apr-23
BOARD2023-031,The Dual U.S. Labor Market Uncovered,"Hie Joo Ahn, Bart Hobijn, and Ayşegül Şahin","Aggregate U.S. labor market dynamics are well approximated by a dual labor market supplemented with a third, predominantly, home-production segment. We uncover this structure by estimating a Hidden Markov Model, a machine-learning method. The different market segments are identified through (in-)equality constraints on labor market transition probabilities. This method yields time series of stocks and flows for the three segments for 1980-2021. Workers in the primary sector, who make up around 55 percent of the population, are almost always employed and rarely experience unemployment. The secondary sector, which constitutes 14 percent of the population, absorbs most of the short-run fluctuations, both at seasonal and business cycle frequencies. Workers in this segment experience six times higher turnover rates than those in the primary tier and are ten times more likely to be unemployed than their primary counterparts. The tertiary segment consists of workers who infrequently participate in the labor market but nevertheless experience unemployment when they try to enter the labor force. Our individual-level analysis shows that observable demographic characteristics only explain a small part of the cross-individual variation in segment membership. The combination of the aggregate and individual-level evidence we provide points to dualism in the U.S. labor market being an equilibrium division of labor, under labor market imperfections, that minimizes adjustment costs in response to predictable seasonal as well as unpredictable business cycle fluctuations.",https://www.federalreserve.gov/econres/feds/the-dual-us-labor-market-uncovered.htm,2023-031,May-23
BOARD2023-008,Recession Signals and Business Cycle Dynamics: Tying the Pieces Together,Michael T. Kiley,"Examining a parsimonious, yet comprehensive, set of recession signals yields three lessons. First, signals from financial markets, leading indicators of activity, and gauges of the macroeconomic environment are each useful at different horizons, with leading indicators and financial signals informative at short horizons and the state of the business cycle at medium horizons. Second, approaches emphasizing the yield curve overstate the recession signal from the term spread if other factors are not considered; given correlations among indicators, these differences are often small, but were large in 2022. Finally, simulations of a reduced-form vector autoregression of unemployment and financial conditions, which captures the time-series properties of the series well, suggest the patterns are consistent with a typical hump-shape characterization of business cycle dynamics; this synthesis tightens the connections of the recession prediction literature with the business-cycle literature.",https://www.federalreserve.gov/econres/feds/recession-signals-and-business-cycle-dynamics-tying-the-pieces-together.htm,2023-008,Jan-23
BOARD2023-042,A Comprehensive Empirical Evaluation of Biases in Expectation Formation,Kenneth Eva and Fabian Winkler,"We revisit predictability of forecast errors in macroeconomic survey data, which is often taken as evidence of behavioral biases at odds with rational expectations. We argue that to reject rational expectations, one must be able to predict forecast errors out of sample. However, the regressions used in the literature often perform poorly out of sample. The models seem unstable and could not have helped to improve forecasts with access only to available information. We do find some notable exceptions to this finding, in particular mean bias in interest rate forecasts, that survive our out-of-sample tests. Our findings help narrow down the set of biases that merit closer attention of researchers in behavioral macroeconomics.",https://www.federalreserve.gov/econres/feds/a-comprehensive-empirical-evaluation-of-biases-in-expectation-formation.htm,2023-042,Jun-23
BOARD2023-047,Affording Degree Completion: An Experimental Study of Completion Grants at Accessible Public Universities,"Sara Goldrick-Rab, Christine Baker-Smith, Travis T. York, Kallie Clark, Douglas Webber, and Christel Perkins","To improve college affordability and graduation rates, universities are increasingly allocating “completion grants” to students who are nearing the finish line but facing financial challenges. Using an experimental design and common program model across 11 broad-access public universities in ten states, we assessed the impact of a completion grants averaging $1,200 distributed among more than 14,000 students. We find that, despite university expectations that most students were near completion, only two-thirds of students eligible to receive a completion grant graduated within the academic year. Receiving a completion grant did not improve that rate. However, nearly all eligible students (95%) graduated within three years or were still working on their degrees. While completion grants are intended to enhance equity, we do not find evidence that they exerted positive impacts for marginalized groups as designed in this study. Moreover, while there was some program implementation variation across universities, it did not lead to differences in program impact.",https://www.federalreserve.gov/econres/feds/affording-degree-completion-an-experimental-study-of-completion-grants-at-accessible-public-universities.htm,2023-047,Jul-23
BOARD2023-012,Early Joiners and Startup Performance,"Joonkyu Choi, Nathan Goldschlag, John Haltiwanger, J. Daniel Kim","We show that early joiners—non-founder employees in the first year of a startup—play a critical role in explaining firm performance. We use administrative employee-employer matched data on all US startups and utilize the premature death of workers as a natural experiment exogenously separating talent from young firms. We find that losing an early joiner has a large negative effect on firm size that persists for at least ten years. When compared to that of a founder, losing an early joiner has a smaller effect on firm death but intensive margin effects on firm size are similar in magnitude. We also find that early joiners become relatively more important with the age of the firm. In contrast, losing a later joiner yields only a small and temporary decline in firm performance. We provide evidence that is consistent with the idea that organization capital, an important driver of startup success, is embodied in early joiners.",https://www.federalreserve.gov/econres/feds/early-joiners-and-startup-performance.htm,2023-012,Feb-23
BOARD2023-044,Interconnected DeFi: Ripple Effects from the Terra Collapse,Anton Badev and Cy Watsky,"The emerging world of decentralized finance (DeFi), facilitated by smart contracts operating on blockchain networks, has been notable both for its rapid growth and the high-profile collapses of several of its largest participants. In this paper, we provide a technical account of the financial mechanisms which facilitated the growth and eventual collapse of the Terra Network. From this analysis, we outline a generalizable economic theory of blockchains which aims to differentiate the economics of blockchains as programmable environments from blockchains as accounting ledgers for crypto-assets. This adds to the existing literature on crypto-assets, which largely focuses on the financial characteristics of the crypto-assets themselves rather than their underlying blockchains. We argue that DeFi is structured so as to offer consumers distinct blockchain networks as competing choices differentiated by several key characteristics. We test several implications of this theory using Terra’s collapse as a natural experiment, finding evidence that bridges between programmable blockchain networks create increased risk of spillover effects to other blockchains’ programmable environments in the wake of a major shock event like Terra’s collapse. Specifically, blockchains suffered a time-bound loss of market share and the likelihood of this loss grew approximately 40% for each additional bridge that was deployed in common with Terra at the time of Terra’s collapse.",https://www.federalreserve.gov/econres/feds/interconnected-defi-ripple-effects-from-the-terra-collapse.htm,2023-044,Jun-23
BOARD2023-030,Endogenous Bargaining Power and Declining Labor Compensation Share,"Juan C. Córdoba, Anni T. Isojärvi, Haoran Li","Workhorse search and matching models assume constant bargaining weights, while recent evidence indicates that weights vary across time and in cross section. We endogenize bargaining weights in a life-cycle search and matching model by replacing a standard Cobb-Douglas (CD) matching function with a general constant elasticity of substitution (CES) matching function and study the implications for the long-term labor share and bargaining power in the U.S. The CES model explains 64 percent of the reported decline in the labor share since 1980, while the CD model explains only 28 percent of the decline. We then use the model to recover changes in bargaining power and find that workers' bargaining power has declined 11 percent between 1980 and 2007 because of a decline in tightness.",https://www.federalreserve.gov/econres/feds/endogenous-bargaining-power-and-declining-labor-compensation-share.htm,2023-030,May-23
BOARD2023-024,The Role of Property Assessment Oversight in School Finance Inequality,"Alex Combs, John Foster, Erin Troland","This paper explores an under-studied channel for school finance inequality: property assessment. School districts have historically relied on local tax revenues (typically property taxes) to fund schools, which can generate disparities in funding across districts. Many states passed school finance reforms that give more state funding to poorer districts. These formulas typically discourage school districts from offsetting state funding by reducing local tax rates (""crowd out""). However, many reforms have not adequately addressed another source of inequality: property assessment accuracy and equity. Moreover, state reform can unintentionally subsidize property underassessment. We analyze a state government intervention to address property assessment inequities within and across school districts. We use difference-in-differences and county- and school district-level administrative data to find the intervention boosted assessments by 32 percent. Assessment equity improved substantially and local property revenues temporarily increased by 17 percent. Local fiscal and institutional capacity played a role in assessment inequity pre-reform. Our results suggest that underassessment can compound funding inequality across districts in states that rely on property wealth to fund schools. Therefore, effective state oversight in property assessments is needed to ensure the integrity of funding systems that distribute state funding to districts on the basis of their assessed property wealth.",https://www.federalreserve.gov/econres/feds/the-role-of-property-assessment-oversight-in-school-finance-inequality.htm,2023-024,May-23
BOARD2023-043,College Networks and Re-employment of Displaced Workers,"Ben Ost, Weixiang Pan, and Douglas Webber","We provide the first evidence on the role of college networks in the re-employment of displaced workers. An extensive literature examines the consequences of layoffs, but the factors which facilitate re-employment are relatively under-studied. Using administrative data and a cross-cohort design, we find that network connections with actively-hiring employers increase the re-employment rate. This result is driven by re-employment at contact’s firms suggesting that a stronger network does not improve worker quality more broadly. These results suggest that college has the potential to improve employment outcomes beyond improved human capital and signaling.",https://www.federalreserve.gov/econres/feds/college-networks-and-re-employment-of-displaced-workers.htm,2023-043,Jun-23
