,Title,Author,Abstract,Link,Number,Date,Source
NBER31515,"Working from Home, Worker Sorting and Development","['David Atkin', 'Antoinette Schoar', 'Sumit Shinde']","A growing literature explores the impact of home-based versus office-based work. Differences in productivity may arise due to a treatment effect of the office or from workers with different abilities sorting into office or home work. We conduct an RCT in the data entry sector in India that exogenously allocates workers to the home or office. We find that the productivity of workers randomly assigned to working from home is 18% lower than those in the office. Two-thirds of the effect manifests itself from the first day of work with the remainder due to quicker learning by office workers over time. We find negative selection effects for office-based work: workers who prefer home-based work are 12% faster and more accurate at baseline. We also find a negative selection on treatment: workers who prefer home work are substantially less productive at home than at the office (27% less compared to 13% less for workers who prefer the office). These negative selection effects are partially explained by subgroups that likely face bigger constraints on selecting into office work, such as those with children or other home care responsibilities as well as poorer households.",https://www.nber.org/papers/w31515,31515,July 2023,NBER
BOE1024,Revisiting the monetary transmission mechanism through an industry‑level differential approach,"Sangyup Choi, Tim Willems and Seung Yong Yoo","We combine industry‑level data on output and prices with monetary policy shock estimates for 105 countries to analyse how the effects of monetary policy vary with industry characteristics. Next to being interesting in their own right, our findings are informative on the importance of various transmission mechanisms, as they are thought to vary systematically with the included characteristics. Results suggest that monetary policy has greater output effects in industries featuring assets that are more difficult to collateralise, consistent with the credit channel, followed by industries producing durables, as predicted by the interest rate channel. The credit channel is stronger during bad times as well as in countries with lower levels of financial development, in line with financial accelerator logic. We do not find support for the cost channel of monetary policy, nor for a channel running via exports. Our database (containing estimated monetary policy shocks for 177 countries) may be of independent interest to researchers.",https://www.bankofengland.co.uk/working-paper/2023/revisiting-the-monetary-transmission-mechanism,1024,"Fri, 26 May 2023 ",BOE
NBER31486,More Unequal We Stand? Inequality Dynamics in the United States 1967–2021,"['Jonathan Heathcote', 'Fabrizio Perri', 'Giovanni L. Violante', 'Lichen Zhang']","Heathcote et al. (2010) conducted an empirical analysis of several dimensions of inequality in the United States over the years 1967-2006, using publicly-available survey data. This paper expands the analysis, and extends it to 2021. We find that since the early 2000s, the college wage premium has stopped growing, and the race wage gap has stalled. However, the gender wage gap has kept shrinking. Both individual- and household-level income inequality have continued to rise at the top, while the cyclical component of inequality dominates dynamics below the median. Inequality in consumption expenditures has remained remarkably stable over time. Income pooling within the family and redistribution by the government have enormous impacts on the dynamics of household-level inequality, with the role of the family diminishing and that of the government growing over time. In particular, largely due to generous government transfers, the COVID recession has been the first downturn in fifty years in which inequality in disposable income and consumption actually declined.",https://www.nber.org/papers/w31486,31486,July 2023,NBER
ECB2827,Rational inattention and the business cycle effects of productivity and news shocks,"Bartosz Ma ćkowiak , Mirko Wiederholt","We solve a real business cycle model with rational inattention (an RI-RBC model). In the RIRBC model, the growth rates of employment, investment, and output are about as persistent as in the data, with an amount of inattention consistent with survey data on expectations. Moreover, consumption, employment, and output move in the same direction in response to news about future productivity. By contrast, the baseline RBC model produces neither persistent growth rates nor business cycle comovement after news shocks.",https://www.ecb.europa.eu//pub/pdf/scpwps/ecb.wp2827~0b39cb6d81.en.pdf,2827,"Tue, 04 Jul 2023 11:00:00 +0200",ECB
ECB2834,Energy supply shocks’ nonlinearities on output and prices,"Roberto A. De Santis , Tommaso Tornese","We use a Bayesian Threshold Vector Autoregression model identified through sign and narrative restrictions to uncover non-linearities in the propagation of energy supply shocks. We find that the transmission of energy supply shocks on consumer prices is stronger in high-inflation regimes, supporting state-dependent models. The faster pass-thorough of energy supply shocks to consumer prices (excl. energy) cushions the drop in output in the short term. Energy supply shocks have a stronger impact on output in the medium-term with manufacturing being more adversely affected than GDP. Large energy supply shocks shift the economy to another state but after two and half years the mean-reversion to lower inflation implies a more moderate transmission mechanism, highlighting the importance of state-dependent impulse responses. The energy supply shocks between July 2021 and June 2022 are massive amounting to 3.9 standard deviations on average each month.",https://www.ecb.europa.eu//pub/pdf/scpwps/ecb.wp2834~db448f2eb2.en.pdf,2834,"Mon, 31 Jul 2023 11:00:00 +0200",ECB
FED-BOARD2023-018,Private Equity and Debt Contract Enforcement: Evidence from Covenant Violations,"Sharjil Haque, Anya Kleymenova","We document the importance of a financial sponsor when a borrower violates a covenant, providing creditors the opportunity to enforce debt contracts. We identify PE-sponsored borrowers in the Shared National Credit Program (SNC) data and find that they violate covenants more often than comparable non-PE borrowers. Yet, compared to non-PE, PE-backed borrowers experience smaller reductions in credit commitment upon violation, suggesting lenders are more lenient with PE sponsors. This leniency effect is also stronger among financially healthier lenders. We show that our results are consistent with a repeated-deals mechanism, as lenders frequently interact with financial sponsors and choose to preserve relationship rent. Consistent with this mechanism, we find little evidence that PE-sponsored loans eventually underperform relative to non-PE-sponsored loans following covenant violations. Our findings have important implications for understanding heterogeneity in debt contract enforcement and credit constraints faced by distressed borrowers with financial sponsors.",https://www.federalreserve.gov/econres/feds/private-equity-and-debt-contract-enforcement-evidence-from-covenant-violations.htm,2023-018,April 2023,FED-BOARD
BFI2023-102,Tell Me Something I Don’t Already Know: Learning in Low and High-Inflation Settings,"Michael Weber, Serafin Frache,  Dimitris Georgarakos, Bernardo Candia, Brent Meyer, Olivier Coibion, Tiziano Ropele, Saten Kumar, Geoff Kenny, Rodrigo Lluberas, Yuriy Gorodnichenko, Jorge Ponce","Using randomized control trials (RCTs) applied over time in different countries, we study how the economic environment affects how agents learn from new information. We show that as inflation has recently risen in advanced economies, both households and firms have become more attentive and informed about inflation, leading them to respond less to exogenously provided information about inflation and monetary policy. We also study the effects of RCTs in countries where inflation has been consistently high (Uruguay) and low (New Zealand) as well as what happens when the same agents are repeatedly provided information in both low- and high-inflation environments (Italy). Our results broadly support models in which inattention is an endogenous outcome that depends on the economic environment.",https://bfi.uchicago.edu/working-paper/tell-me-something-i-dont-already-know-learning-in-low-and-high-inflation-settings/,2023-102,"Jul 24, 2023",BFI
BOE1029,Yield curve sensitivity to investor positioning around economic shocks,"Patrick Altmeyer, Lena Boneva, Rafael Kinston, Shreyosi Saha and Evarist Stoja","Speculative trading activity may either support efficient market functioning or introduce price distortions. Using granular, daily EMIR Trade Repository data on short sterling futures, we investigate the interaction of speculative trading and macroeconomic shocks on UK yield curve pricing over a 16-month sample period from 2018 to 2020. Our results are largely consistent with efficient market functioning throughout the period, although we find some evidence that short speculative positions amplified yield curve moves in response to Brexit shocks, while long speculative positions had a dampening effect.",https://www.bankofengland.co.uk/working-paper/2023/yield-curve-sensitivity-to-investor-positioning-around-economic-shocks,1029,"Fri, 30 Jun 2023 ",BOE
BIS1091,"FinTech, investor sophistication and financial portfolio choices"," Leonardo Gambacorta, Romina Gambacorta and Roxana Mihet","This paper analyses the links between advances in financial technology, investors' sophistication, and the composition and returns of their financial portfolios. We develop a simple portfolio choice model under asymmetric information and derive some theoretical predictions.",http://www.bis.org/publ/work1091.htm,1091,2023-04-21T12:00:00Z,BIS
CHICAGO2023-20,"Overborrowing, Underborrowing, and Macroprudential Policy","Fernando Arce, Julien Bengui, Javier Bianchi","In this paper, we revisit the scope for macroprudential policy in production economies with pecuniary externalities and collateral constraints. We study competitive equilibria and constrained-efficient equilibria and examine the extent to which the gap between the two depends on the production structure and the policy instruments available to the planner. We argue that macroprudential policy is desirable regardless of whether the competitive equilibrium features more or less borrowing than the constrained-efficient equilibrium. In our quantitative analysis, macroprudential taxes on borrowing turn out to be larger when the government has access to ex-post stabilization policies.",https://www.chicagofed.org/publications/working-papers/2023/2023-20,2023-20,May 2023,CHICAGO
IMFWPIEA2023151,Digital Tokens: A Legal Perspective,José M. Garrido,"Tokens are units digitally represented in a distributed ledger or blockchain. The various uses of this technology have the potential to transform a wide array of economic activities, from traditional commercial transactions to sophisticated financial undertakings. This paper explores the similarities and differences of tokens with traditional legal instruments in commercial law and how tokens could offer superior solutions, provided that proper legal foundations are established for their operation, including aspects of the law of securities and consumer protection law.",https://www.imf.org/en/Publications/WP/Issues/2023/07/28/Digital-Tokens-A-Legal-Perspective-537041,WPIEA2023151,"Fri, 28 Jul 2023 00:00:00 -0400",IMF
FED-BOARD2023-050,"Disclosure Regulation, Intangible Capital and the Disappearance of Public Firms","Sara Casella, Hanbaek Lee, Sergio Villalvazo","Since the mid-1990s, the number of listed firms in the U.S. has halved, and their public disclosure has become opaquer. To explain these trends, we develop a general equilibrium model where the choices of going public or private and the transparency of voluntary disclosure are characterized analytically. In the equilibrium, the stock market with directed search and the private equity market with random search co-exist. According to the estimation, stricter disclosure regulation and increased intangible capital share are the key drivers of the observed patterns. Lastly, we characterize a policymaker’s trade-off between welfare and productivity and analyze the optimal policy.",https://www.federalreserve.gov/econres/feds/disclosure-regulation-intangible-capital-and-the-disappearance-of-public-firms.htm,2023-050,July 2023,FED-BOARD
BIS1090,Tackling the fiscal policy-financial stability nexus," Claudio Borio, Marc Farag and Fabrizio Zampolli","Tackling the fiscal policy-financial stability nexus is essential to ensure financial and hence macroeconomic stability. In this paper, we review the literature on this topic and suggest how policy could best tackle the link. Doing so involves action on two fronts. First, incorporating financial stability considerations in the design of fiscal policy.",http://www.bis.org/publ/work1090.htm,1090,2023-04-17T16:30:00Z,BIS
NBER31426,Institutions and Global Crop Yields,"['David Wuepper', 'Haoyu Wang', 'Wolfram Schlenker', 'Meha Jain', 'Robert Finger']","We estimate annual discontinuities in remotely-sensed crop yields at all international land borders and link them to changes in the economic freedom index by the Fraser Institute, a country-level measure of institutional quality. Each point of the ten-point index increases the discontinuity by 2.2% over the next five years, highlighting that institutional reforms have the potential to close some of the observed crop yield gap. Three subcategories are consistently significant: credit market regulation, inflation, and the top marginal tax rate. We present suggestive evidence that higher average yields are achieved through increased use of irrigation and mechanization. Yield variability remains unchanged, and reforms lead to cropland expansion through deforestation.",https://www.nber.org/papers/w31426,31426,July 2023,NBER
NBER31442,Pack-Crack-Pack: Gerrymandering with Differential Turnout,"['Laurent Bouton', 'Garance Genicot', 'Micael Castanheira', 'Allison L. Stashko']","This paper studies the manipulation of electoral maps by political parties, known as gerrymandering. At the core of our analysis is the recognition that districts must have the same population size but only voters matter for electoral incentives. Using a novel model of gerrymandering that allows for heterogeneity in turnout rates, we show that parties adopt different gerrymandering strategies depending on the turnout rates of their supporters relative to those of their opponents.  The broad pattern is to ""pack-crack-pack"" along the turnout dimension. That is, parties benefit from packing both supporters with a low turnout rate and opponents with a high turnout rate in some districts, while creating districts that mix supporters and opponents with intermediate turnout rates. This framework allows us to derive a number of empirical implications about the link between partisan support, turnout rates, and electoral maps. Using a novel empirical strategy that relies on the comparison of maps proposed by Democrats and Republicans during the 2020 redistricting cycle in the US, we then bring such empirical implications to the data and find support for them.",https://www.nber.org/papers/w31442,31442,July 2023,NBER
NBER31514,Information Dynamics and Macro Fluctuations,"['Kyriakos T. Chousakos', 'Gary B. Gorton', 'Guillermo Ordoñez']","The amount of information produced about firms’ productivities and about the quality of collateral backing their loans varies over time. These information dynamics determine the evolution of credit, output and productivity, which feeds back into incentives to produce information. We characterize this intricate dynamic relation. A credit boom happens when information about collateral depreciates. A financial crisis happens when information about collateral is suddenly generated. Information about firms’ individual productivities over credit booms can prevent or tame the crisis, acting as an endogenous macroprudential force.",https://www.nber.org/papers/w31514,31514,July 2023,NBER
CHICAGO2023-16,"International Diversification, Reallocation, and the Labor Share","Joel David, Romain Ranciere, David Zeke","How does growing international financial diversification affect firm-level and aggregate labor shares? We study this question using a novel framework of firm labor choice in the face of aggregate risk. The theory implies a cross-section of labor risk premia and labor shares that appear as markups in firm-level data. International risk sharing leads to a reallocation of labor towards riskier/low labor share firms alongside a rise in within-firm labor shares, matching key micro-level facts. We use cross-country firm-level data to document a number of empirical patterns consistent with the theory, namely: (i) riskier firms have lower labor shares and (ii) international financial diversification is associated with a reallocation towards risky/low labor share firms. Our estimates suggest the reallocation effect has dominated the within effect in recent decades; on net, increased financial integration has reduced the corporate labor share in the U.S. by about 2.5 percentage points, roughly one-third of the total decline since the 1970s.",https://www.chicagofed.org/publications/working-papers/2023/2023-16,2023-16,April 2023,CHICAGO
BOE1028,The market for inflation risk,"Saleem Bahaj, Robert Czech, Sitong Ding and Ricardo Reis","This paper uses transaction-level data on the universe of traded UK inflation swaps to characterise who buys and sells inflation risk, when, and with what price elasticity. This provides measures of expected inflation cleaned from liquidity frictions. We first show that this market is segmented: pension funds trade at long horizons while hedge funds trade at short horizons, with dealer banks as their counterparties in both markets. This segmentation suggests three identification strategies – sign restrictions, granular instrumental variables, and heteroskedasticity – for the demand and supply functions of each investor type. Across the three strategies, we find that (i) prices absorb new information within three days; (ii) the supply of long-horizon inflation protection is very elastic; and (iii) short-horizon price movements are unreliable measures of expected inflation as they primarily reflect liquidity shocks. Our counterfactual measure of long-horizon expected inflation in the absence of these shocks suggests that the risk of a deflation trap during the pandemic and of a persistent rise in inflation following the energy shocks were overstated, while since Autumn of 2022, expected inflation has been lower and falling more rapidly than conventional measures.",https://www.bankofengland.co.uk/working-paper/2023/the-market-for-inflation-risk,1028,"Fri, 23 Jun 2023 ",BOE
BIS1106,"Global public goods, fiscal policy coordination, and welfare in the world economy", Pierre-Richard Agénor and Luiz Awazu Pereira da Silva,A two-region endogenous growth model of the world economy with local and global public goods is used to study strategic interactions between national fiscal authorities...,http://www.bis.org/publ/work1106.htm,1106,2023-07-03T12:00:00Z,BIS
ECB2823,"Asset prices, collateral and bank lending: the case of Covid-19 and real estate","Asset prices, collateral and bank lending : the case of Covid -19 and real estate Aoife Horan , Barbara Jarmulska , Ellen Ryan",Our paper uses credit registry data for the euro area to examine how the banking system transmits asset price shocks to credit via revaluation of collateral and subsequent lending decisions. Specifically we examine banks’ treatment of real estate collateral during the Covid-19 crisis. First we find evidence of significant frictions in the trans-mission of asset price dynamics to collateral values. Despite this we find that lending relationships reliant on real estate collateral received one third less credit following the outbreak of the pandemic and that firms experiencing downward revaluations of their collateral were significantly less likely to be given new loans. Our findings confirm that the collateral channel does create an economically significant link between real estate values and credit but suggest that the banking system’s role in transmission may be more complex than traditional economic theory would imply.,https://www.ecb.europa.eu//pub/pdf/scpwps/ecb.wp2823~0a128abbd2.en.pdf,2823,"Mon, 05 Jun 2023 11:00:00 +0200",ECB
FED-BOARD2023-047,Affording Degree Completion: An Experimental Study of Completion Grants at Accessible Public Universities,"Sara Goldrick-Rab, Christine Baker-Smith, Travis T. York, Kallie Clark, Douglas Webber, and Christel Perkins","To improve college affordability and graduation rates, universities are increasingly allocating “completion grants” to students who are nearing the finish line but facing financial challenges. Using an experimental design and common program model across 11 broad-access public universities in ten states, we assessed the impact of a completion grants averaging $1,200 distributed among more than 14,000 students. We find that, despite university expectations that most students were near completion, only two-thirds of students eligible to receive a completion grant graduated within the academic year. Receiving a completion grant did not improve that rate. However, nearly all eligible students (95%) graduated within three years or were still working on their degrees. While completion grants are intended to enhance equity, we do not find evidence that they exerted positive impacts for marginalized groups as designed in this study. Moreover, while there was some program implementation variation across universities, it did not lead to differences in program impact.",https://www.federalreserve.gov/econres/feds/affording-degree-completion-an-experimental-study-of-completion-grants-at-accessible-public-universities.htm,2023-047,July 2023,FED-BOARD
FED-NEWYORK1065,Stimulus through Insurance: The Marginal Propensity to Repay Debt,"Gizem Kosar, Davide Melcangi, Laura Pilossoph, and David Wiczer","Using detailed micro data, we document that households often use “stimulus” checks to pay down debt, especially those with low net wealth-to-income ratios. To rationalize these patterns, we introduce a borrowing price schedule into an otherwise standard incomplete markets model. Because interest rates rise with debt, borrowers have increasingly larger incentives to use an additional dollar to reduce debt service payments rather than consume. Using our calibrated model, we then study whether and how this marginal propensity to repay debt (MPRD) alters the aggregate implications of fiscal transfers. We uncover a trade-off between stimulus and insurance, as high-debt individuals gain considerably from transfers, but consume relatively little immediately. We show how this mechanism can lower short-run fiscal multipliers but sustain aggregate consumption for longer.",https://www.newyorkfed.org/research/staff_reports/sr1065.html,1065,June 2023,FED-NEWYORK
FED-NEWYORK1056,Workers’ Perceptions of Earnings Growth and Employment Risk,Gizem Kosar and Wilbert  van der Klaauw,"In addition to realized earnings and employment shocks, forward-looking individuals are presumed to condition their consumption and labor supply decisions on their subjective beliefs about future labor market risks. This paper analyzes these perceptions of earnings and employment risks using rich monthly panel data. It documents considerable individual heterogeneity in expected earnings growth and earnings growth uncertainty and in the perceived likelihood of a voluntary and involuntary job exit. We examine how these expectations evolve over the working life and the business cycle, and how they co-vary with expectations about the macro economy. Our analysis provides novel evidence on the perceived persistence in earnings growth shocks and on the association between future earnings and spending growth.",https://www.newyorkfed.org/research/staff_reports/sr1056.html,1056,February 2023,FED-NEWYORK
NBER31462,Bank Branch Density and Bank Runs,"['Efraim Benmelech', 'Jun Yang', 'Michal Zator']","Bank branch density, defined as the number of bank branches to total deposits, has significantly declined over the past decade, fueled by a confluence of branch closings and the almost doubling of deposits between 2016 and 2022. During this period, banks with low branch density benefited from large deposits inflows, leading to even lower density. But the virtuous cycle of deposits growth in these banks stopped spinning when investors became wary about their financial health. Stock prices of banks with low branch density plummeted during the 2023 Banking Crisis as these banks experienced larger outflows of uninsured deposits. Our results suggest that digital banking enabled banks to grow faster and attract uninsured deposits, but those large deposits inflows took the form of “hot money” that changed its course when economic conditions worsened.",https://www.nber.org/papers/w31462,31462,July 2023,NBER
FED-NEWYORK1052,The Bitcoin–Macro Disconnect,Gianluca Benigno and Carlo Rosa,"This paper investigates the link between Bitcoin and macroeconomic fundamentals by estimating the impact of macroeconomic news on Bitcoin using an event study with intraday data. The key result is that, unlike other U.S. asset classes, Bitcoin is orthogonal to monetary and macroeconomic news. This disconnect is puzzling as unexpected changes in discount rates should, in principle, affect the price of Bitcoin even when interpreting Bitcoin as a purely speculative asset.",https://www.newyorkfed.org/research/staff_reports/sr1052.html,1052,February 2023,FED-NEWYORK
NBER31446,(Breaking) Intergenerational Transmission of Mental Health,"['Aline Bütikofer', 'Rita Ginja', 'Krzysztof Karbownik', 'Fanny Landaud']","We estimate health associations across generations and dynasties using information on healthcare visits from administrative data for the entire Norwegian population. A parental mental health diagnosis is associated with a 9.3 percentage point (40%) higher probability of a mental health diagnosis of their adolescent child. Intensive margin physical and mental health associations are similar, and dynastic estimates account for about 40% of the intergenerational persistence. We also show that a policy targeting additional health resources for the young children of adults diagnosed with mental health conditions reduced the parent-child mental health association by about 40%.",https://www.nber.org/papers/w31446,31446,July 2023,NBER
BIS1105,The demand for government debt," Egemen Eren, Andreas Schrimpf and Dora Xia","We document that the sectoral composition and marginal buyers of government debt differ notably across jurisdictions and have evolved significantly over time. Focusing on the United States, we estimate the yield elasticity of demand across sectors using instrumental variables constructed from monetary policy surprises.",http://www.bis.org/publ/work1105.htm,1105,2023-06-08T12:00:00Z,BIS
NBER31482,Minimum Tax Rates and Tax Competition: Evidence from Property Tax Limits in Finland,['Teemu Lyytikäinen'],"This paper analyzes how minimum local property tax rates affect local tax policy choice. In Finland, central government has raised the limits on property tax rates several times in the past 30 years. I construct a measure of forced tax rate increases caused by these reforms and examine how municipalities respond to forced increases in nearby municipalities. Results for the property tax on business properties indicate that neighbors' forced tax rate increases lead to higher tax rates, after a reform of the tax base equalization system which increased incentives to compete for the tax base. Before the equalization reform, the tax rates on business properties were unaffected by neighbors' forced tax rate increases. I find some indications that forced increases in the residential property tax rate lead to lower tax rates in neighboring municipalities four years later. Analysis of government bills shows that the introduction of minimum tax rates was partly motivated by concerns regarding horizontal and vertical tax competition. Forced property tax rate increases have a clear and lasting effect on tax revenue in affected municipalities, implying that the tax capacity of central government as regards other tax bases likely increased.",https://www.nber.org/papers/w31482,31482,July 2023,NBER
