,Title,Author,Abstract,Link,Number,Date
NBER31504,Learning and Expectations in Dynamic Spatial Economies,"['Jingting Fan', 'Sungwan Hong', 'Fernando Parro']","The impact of shocks in dynamic environments depends on how forward-looking agents anticipate the path of future fundamentals that shape their decisions. We incorporate flexible beliefs about future fundamentals in a general class of dynamic spatial models, allowing beliefs to be evolving, uncertain, and heterogeneous across groups of agents. We show how to implement our methodology to study both ex-ante and ex-post shocks to fundamentals. We apply our method to two settings—an ex-ante study of the economic impacts of climate change, and an ex-post evaluation of the China productivity shock on the U.S. economy. In both cases, we study the impact of deviations from perfect foresight on different outcomes.",https://www.nber.org/papers/w31504,31504,Jul-23
NBER31505,"Measuring Financial Integration: More Data, More Countries, More Expectations","['Menzie D. Chinn', 'Hiro Ito']","We assess market mediated financial integration over the last fifty years. We first systematically lay out several definitions of financial integration, and then review the evidence regarding whether covered interest parity, uncovered interest parity, and real interest parity hold across industrial and non-industrial countries. Finally we examine what the determinants of real interest differentials are.",https://www.nber.org/papers/w31505,31505,Jul-23
NBER31506,Strategyproofness-Exposing Mechanism Descriptions,"['Yannai A. Gonczarowski', 'Ori Heffetz', 'Clayton Thomas']","A menu description presents a mechanism to player i in two steps. Step (1) uses the reports of other players to describe i’s menu: the set of i’s potential outcomes. Step (2) uses i’s report to select i’s favorite outcome from her menu. Can menu descriptions better expose strategyproofness, without sacrificing simplicity? We propose a new, simple menu description of Deferred Acceptance. We prove that—in contrast with other common matching mechanisms—this menu description must differ substantially from the corresponding traditional description. We demonstrate, with a lab experiment on two elementary mechanisms, the promise and challenges of menu descriptions.",https://www.nber.org/papers/w31506,31506,Jul-23
NBER31507,Information and the Formation of Inflation Expectations by Firms: Evidence from a Survey of Israeli Firms,"['Yuriy Gorodnichenko', 'Rafi Melnick', 'Ari Kutai']","This study analyzes how firms form their inflation expectations during a regime change in monetary policy and a transition to a low-inflation environment. Using the Bank of Israel survey of firms, we document the basic properties of firms’ inflation expectations and examine how Israeli firms update their inflation expectations after receiving new information about inflation or monetary policy. We find that even after successful de-dollarization and disinflation a positive inflation surprise leads to a sizable upward adjustment in inflation expectations for the next year and quarter. A surprise hike in the monetary interest rate leads to a downward adjustment in inflation expectations.",https://www.nber.org/papers/w31507,31507,Jul-23
NBER31508,Optimal Monetary Policy with r*,"['Roberto M. Billi', 'Jordi Galí', 'Anton Nakov']","We study the optimal monetary policy problem in a New Keynesian economy with a zero lower bound (ZLB) on the nominal interest rate, when the steady state natural rate (r*) becomes permanently negative. We show that the optimal policy aims to approach gradually a new steady state with positive average inflation. Around that steady state, the optimal policy implies well defined (second-best) paths for inflation and output in response to shocks to the natural rate. Under plausible calibrations, the optimal policy implies that the nominal rate remains at its ZLB most of the time. Despite the latter feature, the central bank can implement the optimal outcome as a unique equilibrium by means of an appropriate nonlinear interest rate rule. In order to establish that result, we derive sufficient conditions for local determinacy in a general model with endogenous regime switches.",https://www.nber.org/papers/w31508,31508,Jul-23
NBER31510,Information Aggregation in Stratified Societies,"['Marina Agranov', 'Ran Eilat', 'Konstantin Sonin']","We analyze a model of political competition in which the elite forms endogenously to aggregate information and advise the uninformed median voter which candidate to choose. The median voter knows whether or not the endorsed candidate is biased toward the elites, but might still prefer the biased candidate if the elite’s endorsement provides sufficient information about her competence. The elite size and the degree of information aggregation by the elite depend on the extent to which the median voter follows the elite’s advice. A higher cost of redistribution minimizes the elite’s information advantage, hinders information transmission, and decreases the expected competence of the elected politician.",https://www.nber.org/papers/w31510,31510,Jul-23
NBER31511,Scenario Sampling for Large Supermodular Games,"['Bryan S. Graham', 'Andrin Pelican']","This paper introduces a simulation algorithm for evaluating the log-likelihood function of a large supermodular binary-action game. Covered examples include (certain types of) peer effect, technology adoption, strategic network formation, and multi-market entry games. More generally, the algorithm facilitates simulated maximum likelihood (SML) estimation of games with large numbers of players, T, and/or many binary actions per player, M (e.g., games with tens of thousands of strategic actions, TM=O(10⁴)). In such cases the likelihood of the observed pure strategy combination is typically (i) very small and (ii) a TM-fold integral who region of integration has a complicated geometry. Direct numerical integration, as well as accept-reject Monte Carlo integration, are computationally impractical in such settings. In contrast, we introduce a novel importance sampling algorithm which allows for accurate likelihood simulation with modest numbers of simulation draws.",https://www.nber.org/papers/w31511,31511,Jul-23
NBER31512,The (Lack of) Anticipatory Effects of the Social Safety Net on Human Capital Investment,"['Manasi Deshpande', 'Rebecca Dizon-Ross']","How does the expectation that a child will receive government benefits in adulthood affect parental investments in the child's human capital? Most parents whose children receive Supplemental Security Income (SSI) benefits overestimate the likelihood that their child will receive SSI benefits in adulthood. We present randomly-selected families with the predicted likelihood that their child will receive SSI benefits in adulthood. Reducing parents' expectations that children will receive benefits in adulthood does not increase investments in children's human capital. This zero effect is precisely estimated. Likely explanations include parents working more themselves, non-financial goals influencing investment, and families facing investment constraints.",https://www.nber.org/papers/w31512,31512,Jul-23
NBER31513,Global Transportation Decarbonization,"['David S. Rapson', 'Erich Muehlegger']","Replacing fossil fuels in the name of decarbonization is necessary but will be particularly difficult due to their as-yet unrivaled bundle of attributes: abundance, ubiquity, energy density, transportability and cost.  There is a growing commitment to electrification as the dominant decarbonization pathway.  While deep electrification is promising for road transportation in wealthy countries, it will face steep obstacles.  In other sectors and in the developing world, it's not even in pole position.  Global transportation decarbonization will require decoupling emissions from economic growth, and decoupling emissions from growth will require not only new technologies, but cooperation in governance.  The menu of policy options is replete with grim tradeoffs, particularly as the primacy of energy security and reliability (over emissions abatement) has once again been demonstrated in Europe and elsewhere.",https://www.nber.org/papers/w31513,31513,Jul-23
NBER31514,Information Dynamics and Macro Fluctuations,"['Kyriakos T. Chousakos', 'Gary B. Gorton', 'Guillermo Ordoñez']","The amount of information produced about firms’ productivities and about the quality of collateral backing their loans varies over time. These information dynamics determine the evolution of credit, output and productivity, which feeds back into incentives to produce information. We characterize this intricate dynamic relation. A credit boom happens when information about collateral depreciates. A financial crisis happens when information about collateral is suddenly generated. Information about firms’ individual productivities over credit booms can prevent or tame the crisis, acting as an endogenous macroprudential force.",https://www.nber.org/papers/w31514,31514,Jul-23
NBER31515,"Working from Home, Worker Sorting and Development","['David Atkin', 'Antoinette Schoar', 'Sumit Shinde']","A growing literature explores the impact of home-based versus office-based work. Differences in productivity may arise due to a treatment effect of the office or from workers with different abilities sorting into office or home work. We conduct an RCT in the data entry sector in India that exogenously allocates workers to the home or office. We find that the productivity of workers randomly assigned to working from home is 18% lower than those in the office. Two-thirds of the effect manifests itself from the first day of work with the remainder due to quicker learning by office workers over time. We find negative selection effects for office-based work: workers who prefer home-based work are 12% faster and more accurate at baseline. We also find a negative selection on treatment: workers who prefer home work are substantially less productive at home than at the office (27% less compared to 13% less for workers who prefer the office). These negative selection effects are partially explained by subgroups that likely face bigger constraints on selecting into office work, such as those with children or other home care responsibilities as well as poorer households.",https://www.nber.org/papers/w31515,31515,Jul-23
NBER31516,Understanding Rationality and Disagreement in House Price Expectations,"['Zigang Li', 'Stijn Van Nieuwerburgh', 'Wang Renxuan']","Professional house price forecast data are consistent with a rational model where agents must learn about the parameters of the house price growth process and the underlying state of the housing market. Slow learning about the long-run mean can generate forecast bias, a response of forecasts to lagged realizations, sluggish response of forecasts to contemporaneous realizations, and over-reaction to forecast revisions. Introducing behavioral biases, either over-confidence or diagnostic expectations, helps the model further improve its predictions for short-horizon over-reaction and dispersion. Using panel data for a cross-section of forecasters and a term structure of forecasts are important for generating these results.",https://www.nber.org/papers/w31516,31516,Jul-23
NBER31517,Measuring Economic Growth with a Fully Identified Three-Signal Model,"['Andrea Civelli', 'Arya Gaduh', 'Ahmed Sadek Yousuf']","We augment Henderson, Storeygard, and Weil (2012)'s two-signal model of true income growth with a third signal to overcome its underidentification problem. The additional moment conditions from the third signal help fully identify all model parameters without ad-hoc calibrations of the GDP's signal-to-noise ratio. We characterize the necessary properties of the third signal. Using the model, we recover the optimal weight of the GDP in the composite economic growth estimates, which varies with the quality of the national statistics and the geographic level of analysis. The model improves on existing methodologies that use signals to measure true income.",https://www.nber.org/papers/w31517,31517,Jul-23
NBER31518,Is This Time Different? The Safety Net Response to the Pandemic Recession,"['Erik A. Hembre', 'Robert A. Moffitt', 'James P. Ziliak']","The federal government enacted massive spending in the Pandemic Recession. But was this spending scaled to the magnitude of the economic downturn? We examine the responsiveness of the safety net to the Pandemic Recession and compare it to that in the Great Recession. Using monthly state-level administrative caseload data from five large transfer programs–SNAP, TANF, Medicaid, SSI, and UI–and measuring responsiveness in the conventional way as the state-level caseload response to cross-state variation in measures of the business cycle–we find that the safety net response during the Pandemic Recession was greater than occurred during the Great Recession for the most important recessionary-relief programs–UI and SNAP. But we find that the two smaller programs, TANF and SSI, were less responsive during the Pandemic, and we find that Medicaid caseloads are generally unresponsive to the business cycle. We also consider the role of Pandemic state-level policies, such as school and business closures, on caseloads, finding that states with more strict government Pandemic policies had greater caseload increases.",https://www.nber.org/papers/w31518,31518,Jul-23
