,Title,Link,Date,Author,Number,Abstract
NEWYORK1054,Market-Function Asset Purchases,https://www.newyorkfed.org/research/staff_reports/sr1054.html,February 2023,Darrell Duffie and Frank M. Keane,1054,"This paper investigates the goals, costs, and benefits of official-sector purchases of government securities for the purpose of restoring market functionality. We explore the design of market-function purchase programs, including their communication, triggers, operational protocols, exit, and wind-down strategies. We further discuss whether, under some circumstances, fiscal buybacks might be a useful alternative or complement to central-bank market-function purchase programs, and how these buybacks could be funded. The use of fiscal buybacks to support market functionality can be aligned with the fiscal authority’s goal of minimizing the government’s interest expense and can reduce challenges that can be faced by a central bank when asset purchases are not naturally congruent with monetary policy. Depending on the setting and circumstances, fiscal buybacks can also mitigate perceptions of risks to the central bank’s independence."
NEWYORK1047,"Financial Sanctions, SWIFT, and the Architecture of the International Payments System",https://www.newyorkfed.org/research/staff_reports/sr1047.html,January 2023,"Marco Cipriani, Linda S. Goldberg, and Gabriele La Spada",1047,"Financial sanctions, alongside economic sanctions, are components of the toolkit used by governments as part of international diplomacy. The use of sanctions, especially financial, has increased over the last seventy years. Financial sanctions have been particularly important whenever the goals of the sanctioning countries were related to democracy and human rights. Financial sanctions restrict entities—countries, businesses, or even individuals—from purchasing or selling financial assets, or from accessing custodial or other financial services. They can be imposed on a sanctioned entity’s ability to access the infrastructures that are in place to execute international payments, irrespective of whether such payments underpin financial or real activity. This article explains how financial sanctions can be designed to limit access to the international payments system and, in particular, the SWIFT network, and provides some recent examples."
NEWYORK1058,U.S. Banks’ Exposures to Climate Transition Risks,https://www.newyorkfed.org/research/staff_reports/sr1058.html,April 2023,"Hyeyoon Jung, João A.C. Santos, and Lee Seltzer",1058,"We build on the estimated sectoral effects of climate transition policies from the general equilibrium models of Jorgenson et al. (2018), Goulder and Hafstead (2018), and NGFS (2022a) to investigate U.S. banks’ exposures to transition risks. Our results show that while banks’ exposures are meaningful, they are manageable. Exposures vary by model and policy scenario with the largest estimates coming from the NGFS (2022a) disorderly transition scenario, where the average bank exposure reaches 9 percent as of 2022. Banks’ exposures increase with the stringency of a carbon tax policy but tend to benefit from a corporate or capital tax cut redistribution policy relative to a lump sum dividend. Also, banks’ exposures increase, although not dramatically in stress scenarios. For example, according to Jorgenson et al. (2018), banks’ exposures range from 0.5—3.5 percent as of 2022. Assuming that loans to industries in the top two deciles most affected by the transition policy lose their entire value, banks’ exposures would increase to 12—14 percent. Finally, there is a downward trend in banks’ exposures to the riskiest industries, which appears to be at least in part due to banks gradually reducing funding to these industries."
NEWYORK1057,Non-Bank Financial Institutions and Banks’ Fire-Sale Vulnerabilities,https://www.newyorkfed.org/research/staff_reports/sr1057.html,March 2023,"Nicola Cetorelli, Mattia  Landoni, and Lina Lu",1057,"Banks carry significant exposures to nonbanks from direct dealings, but they can also be exposed, indirectly, through losses in asset values resulting from fire-sale events. We assess the vulnerability of U.S. banks to fire sales potentially originating from any of twelve separate nonbank segments and identify network-like externalities driven by the interconnectedness across nonbank types in terms of asset holdings. We document that such network externalities can contribute to very large multiples of an original fire sale, thus suggesting that conventional assessments of fire-sale vulnerabilities can be grossly understated and highlighting the value of treating nonbank financial institutions as one organic whole for monitoring purposes."
NEWYORK1064,"Global Liquidity: Drivers, Volatility and Toolkits",https://www.newyorkfed.org/research/staff_reports/sr1064.html,June 2023,Linda S. Goldberg,1064,"Global liquidity refers to the volumes of financial flows—largely intermediated through global banks and non-bank financial institutions—that can move at relatively high frequencies across borders. The amplitude of responses to global conditions like risk sentiment, discussed in the context of the global financial cycle, depends on the characteristics and vulnerabilities of the institutions providing funding flows. Evidence from across empirical approaches and using granular data provides policy-relevant lessons. International spillovers of monetary policy and risk sentiment through global liquidity evolve in response to regulation, the characteristics of financial institutions, and actions of official institutions around liquidity provision. Strong prudential policies in the home countries of global banks and official facilities reduce funding strains during stress events. Country-specific policy challenges, summarized by the monetary and financial trilemmas, are partially alleviated. However, risk migration across types of financial intermediaries underscores the importance of advancing regulatory agendas related to non-bank financial institutions."
NEWYORK1046,Assessing the Relative Progressivity of the Biden Administration’s Federal Student Loan Forgiveness Proposal,https://www.newyorkfed.org/research/staff_reports/sr1046.html,January 2023,"Jacob Goss, Daniel Mangrum, and Joelle W. Scally",1046,"We quantify the total stock of balances eligible for the Biden Administration’s student loan forgiveness policy announced and examine which groups benefit most. Up to $442 billion in loans are eligible. Those benefiting most are younger, have lower credit scores, and live in lower- and middle-income neighborhoods. We also find that Black and Hispanic borrowers disproportionately benefit from the proposal. We then compare the distribution of beneficiaries for the announced policy to several alternative hypothetical forgiveness proposals and three existing tax credits. The additional forgiveness for Pell grant recipients increased the progressivity of the policy at a cost of $129 billion. Reducing the income eligibility criterion in half from the announced policy would have reduced the cost by nearly $100 billion and made the policy more progressive. Compared to existing tax credits, the announced forgiveness policy is less progressive than the Earned Income Tax Credit but more progressive than the 2019 Child Tax Credit and higher education tax credits. We conclude by describing the remaining federal portfolio if the policy is implemented, and we summarize current credit conditions for federal borrowers. Rising credit card and auto delinquencies for borrowers with paused payments foreshadow future credit difficulties for borrowers if federal loan payments resume without relief."
NEWYORK1052,The Bitcoin–Macro Disconnect,https://www.newyorkfed.org/research/staff_reports/sr1052.html,February 2023,Gianluca Benigno and Carlo Rosa,1052,"This paper investigates the link between Bitcoin and macroeconomic fundamentals by estimating the impact of macroeconomic news on Bitcoin using an event study with intraday data. The key result is that, unlike other U.S. asset classes, Bitcoin is orthogonal to monetary and macroeconomic news. This disconnect is puzzling as unexpected changes in discount rates should, in principle, affect the price of Bitcoin even when interpreting Bitcoin as a purely speculative asset."
NEWYORK1066,Measuring the Climate Risk Exposure of Insurers,https://www.newyorkfed.org/research/staff_reports/sr1066.html,July 2023,"Hyeyoon Jung, Robert Engle, Shan Ge, and Xuran Zeng",1066,"Insurance companies can be exposed to climate-related physical risk through their operations and to transition risk through their $12 trillion of financial asset holdings. We assess the climate risk exposure of property and casualty (P&C) and life insurance companies in the U.S. We construct a novel physical risk factor by forming a portfolio of P&C insurers’ stocks, with each insurer’s weight reflecting their operational exposure to states associated with high physical climate risk. We then estimate the dynamic physical climate beta, representing the stock return sensitivity of each insurer to the physical risk factor. In addition, using the climate beta estimates introduced by Jung et al. (2021), we calculate the expected capital shortfall of insurers under various climate stress scenarios. We validate our approach by utilizing granular data on insurers’ asset holdings and state-level operational exposure. Our findings indicate a positive association between larger exposures to risky states and higher holdings of brown assets with higher sensitivity to physical and transition risk, respectively."
NEWYORK1050,Quantifying the Inflationary Impact of Fiscal Stimulus under Supply Constraints,https://www.newyorkfed.org/research/staff_reports/sr1050.html,February 2023,"Julian di Giovanni, Şebnem Kalemli-Özcan, Alvaro Silva, and Muhammed A.  Yıldırım",1050,"This paper builds on Baqaee and Farhi (2022) and di Giovanni et al. (2022) to quantify the contribution of fiscal policy to U.S. inflation over the December 2019-June 2022 period. Model calibrations show that aggregate demand shocks explain roughly two-thirds of total model-based inflation, and that the fiscal stimulus contributed half or more of the total aggregate demand effect."
NEWYORK1062,Estimates of Cost-Price Passthrough from Business Survey Data,https://www.newyorkfed.org/research/staff_reports/sr1062.html,June 2023,"Keshav Dogra, Sebastian Heise, Edward S. Knotek II, Brent H. Meyer, Robert W. Rich, Raphael S. Schoenle, Giorgio Topa, Wilbert  van der Klaauw, and Wändi Bruine de Bruin",1062,"We examine businesses’ price-setting practices via open-ended interviews and in a quantitative survey module with business contacts from the Federal Reserve Banks of Atlanta, Cleveland, and New York in December 2022 and January 2023. Businesses indicated that their prices were strongly influenced by demand, a desire to maintain steady profit margins, and wages and labor costs. Survey respondents expected reduced growth in costs and prices of about 5 percent on average over the next year. Backward-looking, forward-looking, and hypothetical scenarios reveal average cost-price passthrough of around 60 percent, with meaningful heterogeneity across firms."
NEWYORK1065,Stimulus through Insurance: The Marginal Propensity to Repay Debt,https://www.newyorkfed.org/research/staff_reports/sr1065.html,June 2023,"Gizem Kosar, Davide Melcangi, Laura Pilossoph, and David Wiczer",1065,"Using detailed micro data, we document that households often use “stimulus” checks to pay down debt, especially those with low net wealth-to-income ratios. To rationalize these patterns, we introduce a borrowing price schedule into an otherwise standard incomplete markets model. Because interest rates rise with debt, borrowers have increasingly larger incentives to use an additional dollar to reduce debt service payments rather than consume. Using our calibrated model, we then study whether and how this marginal propensity to repay debt (MPRD) alters the aggregate implications of fiscal transfers. We uncover a trade-off between stimulus and insurance, as high-debt individuals gain considerably from transfers, but consume relatively little immediately. We show how this mechanism can lower short-run fiscal multipliers but sustain aggregate consumption for longer."
NEWYORK1060,Applications or Approvals: What Drives Racial Disparities in the Paycheck Protection Program?,https://www.newyorkfed.org/research/staff_reports/sr1060.html,May 2023,"Sergey Chernenko, Nathan Kaplan, Asani Sarkar, and David Scharfstein",1060,"We use the 2020 Small Business Credit Survey to study the sources of racial disparities in use of the Paycheck Protection Program (PPP). Black-owned firms are 8.9 percentage points less likely than observably similar white-owned firms to receive PPP loans. About 55 percent of this take-up disparity is attributable to a disparity in application propensity, while the remainder is attributable to a disparity in approval rates. The finding in prior research that Black-owned PPP recipients are less likely than white-owned recipients to borrow from banks and more likely to borrow from fintech lenders is driven entirely by application behavior. Conditional on applying for a PPP loan, Black-owned firms are 9.9 percentage points less likely than white-owned firms to apply to banks and 7.8 percentage points more likely to apply to fintechs. However, they face similar average approval disparities at banks (7.4 percentage points) and fintechs (8.4 percentage points). Sorting by Black-owned firms away from banks and towards fintechs is significantly stronger in more racially biased counties, and the bank approval disparity is also larger in more racially biased counties. We conclude that insofar as automation by fintechs reduces racial disparities in PPP take-up, it does so by mitigating disparities in loan application rates, not loan approval rates."
NEWYORK1049,Sparse Trend Estimation,https://www.newyorkfed.org/research/staff_reports/sr1049.html,February 2023,"Richard K. Crump, Nikolay Gospodinov, and Hunter Wieman",1049,"The low-frequency movements of many economic variables play a prominent role in policy analysis and decision-making. We develop a robust estimation approach for these slow-moving trend processes, which is guided by a judicious choice of priors and is characterized by sparsity. We present some novel stylized facts from longer-run survey expectations that inform the structure of the estimation procedure. The general version of the proposed Bayesian estimator with a slab-and-spike prior accounts explicitly for cyclical dynamics. The practical implementation of the method is discussed in detail, and we show that it performs well in simulations against some relevant benchmarks. We report empirical estimates of trend growth for U.S. output (and its components), productivity, and annual mean temperature. These estimates allow policymakers to assess shortfalls and overshoots in these variables from their economic and ecological targets."
