,Title,Link,Date,Abstract,Author,Number
BIS1105,The demand for government debt,http://www.bis.org/publ/work1105.htm,2023-06-08T12:00:00Z,"We document that the sectoral composition and marginal buyers of government debt differ notably across jurisdictions and have evolved significantly over time. Focusing on the United States, we estimate the yield elasticity of demand across sectors using instrumental variables constructed from monetary policy surprises."," Egemen Eren, Andreas Schrimpf and Dora Xia",1105
BIS1093,Sovereign risk and bank lending: evidence from 1999 Turkish earthquake,http://www.bis.org/publ/work1093.htm,2023-04-26T12:00:00Z,"We use an exogenous fiscal shock to identify the transmission of government risk to bank lending due to banks holding government bonds. We illustrate with a theoretical model that for banks with higher exposure to government bonds, a higher sovereign default risk implies lower bank net worth and less lending."," Yusuf Soner Başkaya, Bryan Hardy, Sebnem Kalemli-Ozcan and Vivian Yue",1093
BIS1111,How much do firms need to satisfy employees? - Evidence from credit spreads and online employee reviews,http://www.bis.org/publ/work1111.htm,2023-07-18T12:00:00Z,"Using employee reviews accumulated in online platform service and ESG scores, this paper studies the relationship between firms' workforce benefits and their credit risk.", Koji Takahashi and Sumiko Takaoka,1111
BIS1098,Long-term debt propagation and real reversals,http://www.bis.org/publ/work1098.htm,2023-05-05T11:31:00Z,We examine a propagation mechanism that arises from households' long-term borrowing and show empirically that it has sizable real effects.," Mathias Drehmann, Mikael Juselius and Anton Korinek",1098
BIS1094,The foreign exchange market,http://www.bis.org/publ/work1094.htm,2023-04-27T12:00:00Z,"This chapter discusses the structure and functioning of the spot foreign exchange (FX) market. The market structure, which has become far more complex over the past three decades, has mostly evolved endogenously as the global FX market is subject to notably less regulatory oversight than equity and bond markets in most countries."," Alain Chaboud, Dagfinn Rime and Vladyslav Sushko",1094
NBER31402,"Remote Work, Foreign Residents, and the Future of Global Cities",https://www.nber.org/papers/w31402,July 2023,"As remote work opportunities expand, more people are seeking residence in foreign destinations.  The resulting surge in foreign residents generates capital gains for property owners but negatively impacts renters and creates potentially important production, congestion, and amenities externalities. We study the optimal policy toward foreign residents in a model with key features emphasized in policy discussions. Using this model, we provide sufficient statistics to evaluate the impact of an influx of foreign residents and to calculate the tax/transfer policies required to implement the optimal policy.  This policy involves implementing transfers to internalize agglomeration, congestion, and other potential externalities. Importantly, we find that it is not optimal to restrict, tax, or subsidize home purchases by foreign residents.","['Joao Guerreiro', 'Sergio Rebelo', 'Pedro Teles']",31402
BIS1103,Privacy regulation and fintech lending,http://www.bis.org/publ/work1103.htm,2023-06-02T12:00:00Z,"Individuals have concerns about sharing data, but without access to personal information data-intensive fintechs cannot prosper, nor consumers benefit from their services. Well-designed privacy protection regulation needs to address this conflict."," Sebastian Doerr, Leonardo Gambacorta, Luigi Guiso and Marina Sanchez del Villar",1103
BIS1092,Mobile payments and interoperability: Insights from the academic literature,http://www.bis.org/publ/work1092.htm,2023-04-25T12:00:00Z,"We connect various streams of academic literature to analyze how alternative competition and regulatory policies may affect the development of digital financial services, and particularly of mobile payments. Our main objective is to highlight the extent to which existing models, often coming from related industries (such as telecom, payments, and banking) can be applied to study the effects of mobile money interoperability. We focus on four dimensions of interoperability."," Milo Bianchi, Matthieu Bouvard, Renato Gomes, Andrew Rhodes and Vatsala Shreeti",1092
BIS1097,Dampening global financial shocks: can macroprudential regulation help (more than capital controls)?,http://www.bis.org/publ/work1097.htm,2023-05-03T12:00:00Z,"We show that macroprudential regulation significantly dampens the impact of global financial shocks on emerging markets. Specifically, a tighter level of regulation reduces the sensitivity of GDP growth to capital flow shocks and movements in the VIX."," Katharina Bergant, Francesco Grigoli, Niels-Jakob Hansen and Damiano Sandri",1097
BIS1100,Getting up from the floor,http://www.bis.org/publ/work1100.htm,2023-05-24T09:00:00Z,"Since the Great Financial Crisis, a growing number of central banks have adopted abundant reserves systems (""floors"") to set the interest rate. However, there are good grounds to return to scarce reserve systems (""corridors"").", Claudio Borio,1100
BIS1095,"Sectoral shocks, reallocation, and labor market policies",http://www.bis.org/publ/work1095.htm,2023-04-28T12:00:00Z,Unemployment insurance and wage subsidies are key tools to support labor markets in recessions. We develop a multi-sector search and matching model with on-the-job human capital accumulation to study labor market policy responses to sector-specific shocks.," Joaquín García-Cabo, Anna Lipińska and Gastón Navarro",1095
BIS1106,"Global public goods, fiscal policy coordination, and welfare in the world economy",http://www.bis.org/publ/work1106.htm,2023-07-03T12:00:00Z,A two-region endogenous growth model of the world economy with local and global public goods is used to study strategic interactions between national fiscal authorities..., Pierre-Richard Agénor and Luiz Awazu Pereira da Silva,1106
BIS1110,Fiscal sources of inflation risk in EMDEs: the role of the external channel,http://www.bis.org/publ/work1110.htm,2023-07-12T12:00:00Z,"We examine how changes in fiscal deficits affect near-term future inflation in a panel of emerging market and developing economies (EMDEs). Using a novel method for quantile panel regressions with fixed effects, we find that an increase in the fiscal deficit has highly non-linear effects on inflation - that is, a larger impact on upside tail risks than on average inflation."," Ryan Niladri Banerjee, Valerie Boctor, Aaron Mehrotra and Fabrizio Zampolli",1110
BIS1090,Tackling the fiscal policy-financial stability nexus,http://www.bis.org/publ/work1090.htm,2023-04-17T16:30:00Z,"Tackling the fiscal policy-financial stability nexus is essential to ensure financial and hence macroeconomic stability. In this paper, we review the literature on this topic and suggest how policy could best tackle the link. Doing so involves action on two fronts. First, incorporating financial stability considerations in the design of fiscal policy."," Claudio Borio, Marc Farag and Fabrizio Zampolli",1090
BIS1109,Original sin redux: role of duration risk,http://www.bis.org/publ/work1109.htm,2023-07-07T12:00:00Z,We highlight the role of duration and exchange rate risks on portfolio flows by using a unique and comprehensive database of US investor flows into emerging market government bonds denominated in local currency.," Carol Bertaut, Valentina Bruno and Hyun Song Shin",1109
BIS1107,Financial heterogeneity and monetary union,http://www.bis.org/publ/work1107.htm,2023-07-04T12:00:00Z,We explain the slow adjustment in the price levels between the core and periphery by introducing financial frictions and customer markets into the conventional international macroeconomic model...," Simon Gilchrist, Raphael Schoenle, Jae Sim and Egon Zakrajšek",1107
BIS1104,The Crypto Multiplier,http://www.bis.org/publ/work1104.htm,2023-06-07T12:00:00Z,"The exchange rates of cryptocurrencies are highly volatile. This paper provides insight into the source of this volatility by developing the concept of a ""crypto multiplier,"" which measures the equilibrium response of a cryptocurrency's market capitalization to aggregate inflows and outflows of investors' funds.", Rodney Garratt and Maarten van Oordt,1104
